"","lag","mean_value","upper_sd","lower_sd"
"174",174,-0.0112326430634248,0.180858772190876,0.180858772190876
"175",175,-0.0129983813477994,0.1809608337835,0.1809608337835
"176",176,-0.0160764140459245,0.181875945034444,0.181875945034444
"177",177,-0.0188752420388834,0.179481253580665,0.179481253580665
"178",178,-0.0200979970734634,0.177129885721581,0.177129885721581
"179",179,-0.0185470306871203,0.179450291678513,0.179450291678513
"180",180,-0.0141893806815861,0.183781416044579,0.183781416044579
"181",181,-0.00782739206780098,0.185462904956052,0.185462904956052
"182",182,0.00149894799955298,0.185117210452057,0.185117210452057
"183",183,0.011157668028462,0.184598137826736,0.184598137826736
"184",184,0.0196615853094446,0.18676066104062,0.18676066104062
"185",185,0.026991659764279,0.18764564393218,0.18764564393218
"186",186,0.0349060422761122,0.188224478143614,0.188224478143614
"187",187,0.0410297326549076,0.186388508096967,0.186388508096967
"188",188,0.0416912982762625,0.185608936220664,0.185608936220664
"189",189,0.0377291799951379,0.185993982782553,0.185993982782553
"190",190,0.0325338268244826,0.184836227050515,0.184836227050515
"191",191,0.0266693790311184,0.184043019229366,0.184043019229366
"192",192,0.0203815811045496,0.184373615424739,0.184373615424739
"193",193,0.014378555537272,0.189253312988226,0.189253312988226
"194",194,0.00734878580265138,0.191138151145785,0.191138151145785
"195",195,-0.00334887981925047,0.187719814694759,0.187719814694759
"196",196,-0.0136196735021549,0.183015326151562,0.183015326151562
"197",197,-0.0182844359843257,0.182944665528374,0.182944665528374
"198",198,-0.0207670441611966,0.183607109501753,0.183607109501753
"199",199,-0.0229025317042742,0.18173086651106,0.18173086651106
"200",200,-0.0224587781241785,0.178750424806369,0.178750424806369
"201",201,-0.019694630786862,0.17755578907007,0.17755578907007
"202",202,-0.0146661399425355,0.179071115026034,0.179071115026034
"203",203,-0.00909149257668911,0.183749421203704,0.183749421203704
"204",204,-0.00619431192088435,0.188202437968328,0.188202437968328
"205",205,-0.00563978048447732,0.185191397343834,0.185191397343834
"206",206,-0.00424420275389104,0.180615117775022,0.180615117775022
"207",207,0.00107354904455398,0.180848711581268,0.180848711581268
"208",208,0.00958516474625762,0.181318939063878,0.181318939063878
"209",209,0.0177230775437229,0.180545109151623,0.180545109151623
"210",210,0.0225446707670446,0.179683974787514,0.179683974787514
"211",211,0.021644504974868,0.178614863661632,0.178614863661632
"212",212,0.0197842596161756,0.178755636126639,0.178755636126639
"213",213,0.0206537758524856,0.182516129033805,0.182516129033805
"214",214,0.0228426238109186,0.187319224400859,0.187319224400859
"215",215,0.0215811297795285,0.188614384654071,0.188614384654071
"216",216,0.0159085453162715,0.18659207671939,0.18659207671939
"217",217,0.00879615720119745,0.18272467301036,0.18272467301036
"218",218,0.0020867319426886,0.180078734141922,0.180078734141922
"219",219,-0.00167069691769578,0.18077732397436,0.18077732397436
"220",220,-0.00419327013909269,0.182026513605856,0.182026513605856
"221",221,-0.00559208428951459,0.183997472261766,0.183997472261766
"222",222,-0.00770278160048795,0.183821598933611,0.183821598933611
"223",223,-0.00904890310455144,0.183676252649603,0.183676252649603
"224",224,-0.00834225507735234,0.183077944821661,0.183077944821661
"225",225,-0.0047623474504076,0.180614954787708,0.180614954787708
"226",226,0.00193004093819484,0.180435227680287,0.180435227680287
"227",227,0.00572330291655929,0.187432416650316,0.187432416650316
"228",228,0.00339089928163084,0.190745798043943,0.190745798043943
"229",229,-0.00146274462939071,0.187000114993515,0.187000114993515
"230",230,-0.00189516170868647,0.181380412309089,0.181380412309089
"231",231,-0.000651777602624895,0.181328315215614,0.181328315215614
"232",232,0.000122138745976373,0.184529778492136,0.184529778492136
"233",233,0.000178216501500258,0.186171581863719,0.186171581863719
"234",234,0.00217334585889681,0.183337832741283,0.183337832741283
"235",235,0.0073721147426807,0.181335530051178,0.181335530051178
"236",236,0.0117970905254617,0.180433753492811,0.180433753492811
"237",237,0.0153645467389319,0.183694360117445,0.183694360117445
"238",238,0.0168572370886289,0.185756477077794,0.185756477077794
"239",239,0.020602375276152,0.184905758275492,0.184905758275492
"240",240,0.0247185771460041,0.183350534207285,0.183350534207285
"241",241,0.0273318555899612,0.186915073450175,0.186915073450175
"242",242,0.0232209786851468,0.187311486600933,0.187311486600933
"243",243,0.0130548875678979,0.182033337833181,0.182033337833181
"244",244,0.00584066231054662,0.179026063435212,0.179026063435212
"245",245,0.00038473975804912,0.182058242416822,0.182058242416822
"246",246,-0.00483021051903936,0.180767718180767,0.180767718180767
"247",247,-0.0094194484531966,0.177426443809138,0.177426443809138
"248",248,-0.0128794175097186,0.173975991424161,0.173975991424161
"249",249,-0.0157592170904759,0.174402113998288,0.174402113998288
"250",250,-0.015295389376588,0.17868515192422,0.17868515192422
"251",251,-0.00757206847080752,0.181904410974287,0.181904410974287
"252",252,0.00101167146475305,0.184925862647146,0.184925862647146
"253",253,0.0051509775570222,0.186018991071993,0.186018991071993
"254",254,0.00522694337323791,0.185288250695916,0.185288250695916
"255",255,0.00524596337311691,0.182065141888601,0.182065141888601
"256",256,0.00752325602739496,0.181692642474132,0.181692642474132
"257",257,0.00856298765491391,0.182578350735394,0.182578350735394
"258",258,0.00782233455747742,0.181992345921097,0.181992345921097
"259",259,0.00506248102709985,0.181106322097773,0.181106322097773
"260",260,0.00465307907885995,0.180881201924096,0.180881201924096
"261",261,0.0055884913722217,0.183319941061517,0.183319941061517
