ID	stim_file	start_vol	end_vol
sub-control011	35_Trick32_long_combined_small.mp4	1002	1035
sub-control011	36_Trick7_short_combined_small.mp4	127	147
sub-control013	01_H35_combined_small.mp4	66	94
sub-control013	02_H10_combined_small.mp4	190	215
sub-control013	03_H16_combined_small.mp4	313	339
sub-control013	04_S9_combined_small.mp4	497	522
sub-control013	05_K4_combined_small.mp4	678	703
sub-control013	06_H7_combined_small.mp4	1106	1132
sub-control013	07_K2_combined_small.mp4	162	185
sub-control013	08_S12_combined_small.mp4	889	919
sub-control013	09_S11_combined_small.mp4	776	797
sub-control013	10_S27_combined_small.mp4	805	830
sub-control013	11_K21_long_combined_small.mp4	0	31
sub-control013	12_H37_combined_small.mp4	427	451
sub-control013	13_Trick6_short_combined_small.mp4	1042	1070
sub-control013	14_K19_long_combined_small.mp4	950	975
sub-control013	15_S18_combined_small.mp4	251	276
sub-control013	16_H19_combined_small.mp4	592	613
sub-control013	17_Trick37_combined_small.mp4	708	740
sub-control013	18_Trick4_combined_small.mp4	528	561
sub-control013	19_H17_combined_small.mp4	456	489
sub-control013	20_Trick20_short_combined_small.mp4	1078	1100
sub-control013	21_S15_combined_small.mp4	620	645
sub-control013	22_K18_combined_small.mp4	863	883
sub-control013	23_K10_combined_small.mp4	566	587
sub-control013	24_Trick28_combined_small.mp4	127	157
sub-control013	25_S25_combined_small.mp4	385	421
sub-control013	26_S30_combined_small.mp4	982	1004
sub-control013	27_S31_combined_small.mp4	925	945
sub-control013	28_K24_combined_small.mp4	37	58
sub-control013	29_H36_combined_small.mp4	1009	1036
sub-control013	30_H15_combined_small.mp4	281	306
sub-control013	31_K3_combined_small.mp4	746	768
sub-control013	32_K16_short_combined_small.mp4	220	245
sub-control013	33_S21_combined_small.mp4	651	671
sub-control013	34_Trick38_combined_small.mp4	835	858
sub-control013	35_Trick32_long_combined_small.mp4	347	380
sub-control013	36_Trick7_short_combined_small.mp4	102	122
sub-control015	01_H35_combined_small.mp4	210	238
sub-control015	02_H10_combined_small.mp4	905	930
sub-control015	03_H16_combined_small.mp4	299	325
sub-control015	04_S9_combined_small.mp4	616	641
sub-control015	05_K4_combined_small.mp4	779	804
sub-control015	06_H7_combined_small.mp4	71	97
sub-control015	07_K2_combined_small.mp4	504	527
sub-control015	08_S12_combined_small.mp4	436	466
sub-control015	09_S11_combined_small.mp4	158	179
sub-control015	10_S27_combined_small.mp4	333	358
sub-control015	11_K21_long_combined_small.mp4	868	899
sub-control015	12_H37_combined_small.mp4	839	863
sub-control015	13_Trick6_short_combined_small.mp4	1066	1094
sub-control015	14_K19_long_combined_small.mp4	532	557
sub-control015	15_S18_combined_small.mp4	474	499
sub-control015	16_H19_combined_small.mp4	244	265
sub-control015	17_Trick37_combined_small.mp4	1025	1057
sub-control015	18_Trick4_combined_small.mp4	649	682
sub-control015	19_H17_combined_small.mp4	31	64
sub-control015	20_Trick20_short_combined_small.mp4	105	127
sub-control015	21_S15_combined_small.mp4	363	388
sub-control015	22_K18_combined_small.mp4	722	742
sub-control015	23_K10_combined_small.mp4	751	772
sub-control015	24_Trick28_combined_small.mp4	687	717
sub-control015	25_S25_combined_small.mp4	395	431
sub-control015	26_S30_combined_small.mp4	270	292
sub-control015	27_S31_combined_small.mp4	133	153
sub-control015	28_K24_combined_small.mp4	998	1019
sub-control015	29_H36_combined_small.mp4	965	992
sub-control015	30_H15_combined_small.mp4	0	25
sub-control015	31_K3_combined_small.mp4	562	584
sub-control015	32_K16_short_combined_small.mp4	809	834
sub-control015	33_S21_combined_small.mp4	185	205
sub-control015	34_Trick38_combined_small.mp4	935	958
sub-control015	35_Trick32_long_combined_small.mp4	1099	1132
sub-control015	36_Trick7_short_combined_small.mp4	591	611
sub-control017	01_H35_combined_small.mp4	755	783
sub-control017	02_H10_combined_small.mp4	215	240
sub-control017	03_H16_combined_small.mp4	158	184
sub-control017	04_S9_combined_small.mp4	976	1001
sub-control017	05_K4_combined_small.mp4	489	514
sub-control017	06_H7_combined_small.mp4	583	609
sub-control017	07_K2_combined_small.mp4	826	849
sub-control017	08_S12_combined_small.mp4	519	549
sub-control017	09_S11_combined_small.mp4	462	483
sub-control017	10_S27_combined_small.mp4	681	706
sub-control017	11_K21_long_combined_small.mp4	790	821
sub-control017	12_H37_combined_small.mp4	71	95
sub-control017	13_Trick6_short_combined_small.mp4	341	369
sub-control017	14_K19_long_combined_small.mp4	128	153
sub-control017	15_S18_combined_small.mp4	0	25
sub-control017	16_H19_combined_small.mp4	1007	1028
sub-control017	17_Trick37_combined_small.mp4	643	675
sub-control017	18_Trick4_combined_small.mp4	1099	1132
sub-control017	19_H17_combined_small.mp4	1061	1094
sub-control017	20_Trick20_short_combined_small.mp4	401	423
sub-control017	21_S15_combined_small.mp4	879	904
sub-control017	22_K18_combined_small.mp4	189	209
sub-control017	23_K10_combined_small.mp4	374	395
sub-control017	24_Trick28_combined_small.mp4	911	941
sub-control017	25_S25_combined_small.mp4	711	747
sub-control017	26_S30_combined_small.mp4	554	576
sub-control017	27_S31_combined_small.mp4	854	874
sub-control017	28_K24_combined_small.mp4	614	635
sub-control017	29_H36_combined_small.mp4	246	273
sub-control017	30_H15_combined_small.mp4	279	304
sub-control017	31_K3_combined_small.mp4	311	333
sub-control017	32_K16_short_combined_small.mp4	429	454
sub-control017	33_S21_combined_small.mp4	103	123
sub-control017	34_Trick38_combined_small.mp4	946	969
sub-control017	35_Trick32_long_combined_small.mp4	31	64
sub-control017	36_Trick7_short_combined_small.mp4	1033	1053
sub-control019	01_H35_combined_small.mp4	567	595
sub-control019	02_H10_combined_small.mp4	864	889
sub-control019	03_H16_combined_small.mp4	448	474
sub-control019	04_S9_combined_small.mp4	217	242
sub-control019	05_K4_combined_small.mp4	392	417
sub-control019	06_H7_combined_small.mp4	1020	1046
sub-control019	07_K2_combined_small.mp4	955	978
sub-control019	08_S12_combined_small.mp4	985	1015
sub-control019	09_S11_combined_small.mp4	540	561
sub-control019	10_S27_combined_small.mp4	67	92
sub-control019	11_K21_long_combined_small.mp4	356	387
sub-control019	12_H37_combined_small.mp4	150	174
sub-control019	13_Trick6_short_combined_small.mp4	922	950
sub-control019	14_K19_long_combined_small.mp4	602	627
sub-control019	15_S18_combined_small.mp4	35	60
sub-control019	16_H19_combined_small.mp4	838	859
sub-control019	17_Trick37_combined_small.mp4	179	211
sub-control019	18_Trick4_combined_small.mp4	698	731
sub-control019	19_H17_combined_small.mp4	282	315
sub-control019	20_Trick20_short_combined_small.mp4	1108	1130
sub-control019	21_S15_combined_small.mp4	322	347
sub-control019	22_K18_combined_small.mp4	672	692
sub-control019	23_K10_combined_small.mp4	736	757
sub-control019	24_Trick28_combined_small.mp4	0	30
sub-control019	25_S25_combined_small.mp4	765	801
sub-control019	26_S30_combined_small.mp4	1081	1103
sub-control019	27_S31_combined_small.mp4	100	120
sub-control019	28_K24_combined_small.mp4	1051	1072
sub-control019	29_H36_combined_small.mp4	249	276
sub-control019	30_H15_combined_small.mp4	510	535
sub-control019	31_K3_combined_small.mp4	894	916
sub-control019	32_K16_short_combined_small.mp4	808	833
sub-control019	33_S21_combined_small.mp4	125	145
sub-control019	34_Trick38_combined_small.mp4	482	505
sub-control019	35_Trick32_long_combined_small.mp4	632	665
sub-control019	36_Trick7_short_combined_small.mp4	423	443
sub-control021	01_H35_combined_small.mp4	38	66
sub-control021	02_H10_combined_small.mp4	1004	1029
sub-control021	03_H16_combined_small.mp4	1105	1131
sub-control021	04_S9_combined_small.mp4	691	716
sub-control021	05_K4_combined_small.mp4	808	833
sub-control021	06_H7_combined_small.mp4	480	506
sub-control021	07_K2_combined_small.mp4	900	923
sub-control021	08_S12_combined_small.mp4	224	254
sub-control021	09_S11_combined_small.mp4	132	153
sub-control021	10_S27_combined_small.mp4	661	686
sub-control021	11_K21_long_combined_small.mp4	838	869
sub-control021	12_H37_combined_small.mp4	577	601
sub-control021	13_Trick6_short_combined_small.mp4	287	315
sub-control021	14_K19_long_combined_small.mp4	322	347
sub-control021	15_S18_combined_small.mp4	102	127
sub-control021	16_H19_combined_small.mp4	608	629
sub-control021	17_Trick37_combined_small.mp4	539	571
sub-control021	18_Trick4_combined_small.mp4	1034	1067
sub-control021	19_H17_combined_small.mp4	0	33
sub-control021	20_Trick20_short_combined_small.mp4	511	533
sub-control021	21_S15_combined_small.mp4	446	471
sub-control021	22_K18_combined_small.mp4	722	742
sub-control021	23_K10_combined_small.mp4	73	94
sub-control021	24_Trick28_combined_small.mp4	355	385
sub-control021	25_S25_combined_small.mp4	963	999
sub-control021	26_S30_combined_small.mp4	197	219
sub-control021	27_S31_combined_small.mp4	783	803
sub-control021	28_K24_combined_small.mp4	260	281
sub-control021	29_H36_combined_small.mp4	928	955
sub-control021	30_H15_combined_small.mp4	751	776
sub-control021	31_K3_combined_small.mp4	419	441
sub-control021	32_K16_short_combined_small.mp4	1075	1100
sub-control021	33_S21_combined_small.mp4	634	654
sub-control021	34_Trick38_combined_small.mp4	390	413
sub-control021	35_Trick32_long_combined_small.mp4	159	192
sub-control021	36_Trick7_short_combined_small.mp4	874	894
sub-control023	01_H35_combined_small.mp4	378	406
sub-control023	02_H10_combined_small.mp4	901	926
sub-control023	03_H16_combined_small.mp4	737	763
sub-control023	04_S9_combined_small.mp4	195	220
sub-control023	05_K4_combined_small.mp4	135	160
sub-control023	06_H7_combined_small.mp4	544	570
sub-control023	07_K2_combined_small.mp4	516	539
sub-control023	08_S12_combined_small.mp4	664	694
sub-control023	09_S11_combined_small.mp4	320	341
sub-control023	10_S27_combined_small.mp4	932	957
sub-control023	11_K21_long_combined_small.mp4	99	130
sub-control023	12_H37_combined_small.mp4	834	858
sub-control023	13_Trick6_short_combined_small.mp4	1103	1131
sub-control023	14_K19_long_combined_small.mp4	38	63
sub-control023	15_S18_combined_small.mp4	1016	1041
sub-control023	16_H19_combined_small.mp4	265	286
sub-control023	17_Trick37_combined_small.mp4	699	731
sub-control023	18_Trick4_combined_small.mp4	863	896
sub-control023	19_H17_combined_small.mp4	226	259
sub-control023	20_Trick20_short_combined_small.mp4	350	372
sub-control023	21_S15_combined_small.mp4	803	828
sub-control023	22_K18_combined_small.mp4	70	90
sub-control023	23_K10_combined_small.mp4	1046	1067
sub-control023	24_Trick28_combined_small.mp4	602	632
sub-control023	25_S25_combined_small.mp4	475	511
sub-control023	26_S30_combined_small.mp4	445	467
sub-control023	27_S31_combined_small.mp4	991	1011
sub-control023	28_K24_combined_small.mp4	291	312
sub-control023	29_H36_combined_small.mp4	412	439
sub-control023	30_H15_combined_small.mp4	771	796
sub-control023	31_K3_combined_small.mp4	962	984
sub-control023	32_K16_short_combined_small.mp4	165	190
sub-control023	33_S21_combined_small.mp4	637	657
sub-control023	34_Trick38_combined_small.mp4	1075	1098
sub-control023	35_Trick32_long_combined_small.mp4	0	33
sub-control023	36_Trick7_short_combined_small.mp4	575	595
sub-control025	01_H35_combined_small.mp4	99	127
sub-control025	02_H10_combined_small.mp4	0	25
sub-control025	03_H16_combined_small.mp4	65	91
sub-control025	04_S9_combined_small.mp4	694	719
sub-control025	05_K4_combined_small.mp4	902	927
sub-control025	06_H7_combined_small.mp4	474	500
sub-control025	07_K2_combined_small.mp4	1108	1131
sub-control025	08_S12_combined_small.mp4	1032	1062
sub-control025	09_S11_combined_small.mp4	541	562
sub-control025	10_S27_combined_small.mp4	787	812
sub-control025	11_K21_long_combined_small.mp4	505	536
sub-control025	12_H37_combined_small.mp4	725	749
sub-control025	13_Trick6_short_combined_small.mp4	999	1027
sub-control025	14_K19_long_combined_small.mp4	294	319
sub-control025	15_S18_combined_small.mp4	364	389
sub-control025	16_H19_combined_small.mp4	445	466
sub-control025	17_Trick37_combined_small.mp4	132	164
sub-control025	18_Trick4_combined_small.mp4	961	994
sub-control025	19_H17_combined_small.mp4	1070	1103
sub-control025	20_Trick20_short_combined_small.mp4	757	779
sub-control025	21_S15_combined_small.mp4	623	648
sub-control025	22_K18_combined_small.mp4	568	588
sub-control025	23_K10_combined_small.mp4	817	838
sub-control025	24_Trick28_combined_small.mp4	326	356
sub-control025	25_S25_combined_small.mp4	170	206
sub-control025	26_S30_combined_small.mp4	596	618
sub-control025	27_S31_combined_small.mp4	420	440
sub-control025	28_K24_combined_small.mp4	241	262
sub-control025	29_H36_combined_small.mp4	30	57
sub-control025	30_H15_combined_small.mp4	211	236
sub-control025	31_K3_combined_small.mp4	932	954
sub-control025	32_K16_short_combined_small.mp4	843	868
sub-control025	33_S21_combined_small.mp4	269	289
sub-control025	34_Trick38_combined_small.mp4	873	896
sub-control025	35_Trick32_long_combined_small.mp4	656	689
sub-control025	36_Trick7_short_combined_small.mp4	394	414
sub-control027	01_H35_combined_small.mp4	299	327
sub-control027	02_H10_combined_small.mp4	458	483
sub-control027	03_H16_combined_small.mp4	911	937
sub-control027	04_S9_combined_small.mp4	394	419
sub-control027	05_K4_combined_small.mp4	839	864
sub-control027	06_H7_combined_small.mp4	1105	1131
sub-control027	07_K2_combined_small.mp4	1010	1033
sub-control027	08_S12_combined_small.mp4	643	673
sub-control027	09_S11_combined_small.mp4	54	75
sub-control027	10_S27_combined_small.mp4	240	265
sub-control027	11_K21_long_combined_small.mp4	84	115
sub-control027	12_H37_combined_small.mp4	780	804
sub-control027	13_Trick6_short_combined_small.mp4	716	744
sub-control027	14_K19_long_combined_small.mp4	335	360
sub-control027	15_S18_combined_small.mp4	425	450
sub-control027	16_H19_combined_small.mp4	145	166
sub-control027	17_Trick37_combined_small.mp4	1038	1070
sub-control027	18_Trick4_combined_small.mp4	576	609
