sub_a_roi1,sub_a_roi2,sub_b_roi1,sub_b_roi2
0.539387,0.0762877,-0.43268,0.436108
0.832186,-0.0667005,-0.141546,0.0118498
0.525182,0.00771426,-0.195062,0.00521054
0.102099,0.148615,0.0348012,0.413289
-0.00509473,0.0680836,0.0162995,-0.274083
0.552642,-0.156368,-0.224069,-0.431063
-0.343995,0.0909222,0.184649,-0.16364
0.105876,0.527929,-0.414475,-0.162477
0.362966,0.323244,0.0243691,0.0636461
0.0873471,0.143712,-0.178648,0.0204993
0.292878,0.32074,-0.636639,0.0437059
0.150835,0.486023,-0.241404,0.0596433
-0.0797665,-0.215516,-0.629853,-0.218197
0.159804,0.221124,-0.235357,-0.497803
-0.121628,0.374036,-0.0330134,-0.252117
-0.264359,-0.0244344,-0.384135,-0.104646
-0.039274,-0.181138,-0.261529,-0.0269058
-0.466266,-0.00462262,0.132115,-0.472263
-0.247924,-0.0230876,0.0163792,-0.0389846
0.115563,0.551426,-0.368685,0.0198463
0.109967,0.410234,-0.344539,-0.448496
0.0174244,0.0888919,-0.601881,-0.52997
-0.170322,0.175847,-0.00478734,-0.217949
0.0235787,0.124544,0.261189,-0.0997097
0.0017383,0.366396,0.453499,0.198517
-0.117506,-0.117219,0.734019,0.311273
-0.210797,-0.109541,0.223922,0.176052
0.024889,0.18463,-0.0129297,0.250413
0.571791,0.372361,-0.133841,0.022974
-0.317775,-0.381804,-0.160471,0.32912
-0.153798,-0.187143,-0.327394,-0.158467
0.328735,0.45841,-0.528809,-0.275881
-0.340569,-0.150335,-0.105236,0.333906
-0.706463,-0.411185,0.404568,0.35026
-0.685931,-0.20569,0.27815,-0.339481
-0.431779,-0.349567,0.111208,-0.0754225
0.0725986,0.0526512,-0.387397,-0.0347673
0.073736,0.194432,0.470213,0.124803
-0.484858,0.104931,0.639048,-0.453455
-0.0680503,0.137041,0.187482,0.0609442
-0.048336,-0.0648185,-0.0154867,0.216429
0.0204524,-0.0200078,0.1191,0.0655137
-0.142237,0.137716,-0.256976,-0.460009
-0.340504,-0.322001,0.137595,-0.0510144
0.261233,-0.261243,0.624891,0.461211
0.161077,0.00776398,0.0349837,0.452201
-0.136088,-0.0195048,-0.659713,-0.174263
-0.197172,-0.318951,-0.0688531,-0.406383
0.141088,-0.0543194,-0.365802,-0.506726
0.137341,0.17451,-0.220008,-0.266655
-0.135114,-0.0562747,-0.53546,-0.887876
-0.380318,-0.243865,-0.0521232,-0.112047
-0.0373563,-0.042177,-0.121047,-0.333284
0.17514,0.251011,-0.0638236,-0.342577
0.0250527,-0.0771874,-0.410318,0.0419604
-0.3357,-0.18441,-0.584467,0.0267014
0.193804,0.142127,-0.108354,-0.103224
0.381337,-0.401177,-0.534345,-0.0660013
0.645841,0.318618,0.0958002,0.201254
0.431117,0.07044,0.474598,-0.508007
0.736874,0.308631,0.651969,-0.0114548
0.498821,0.070809,-0.333417,-0.0769768
0.222477,-0.218608,-0.446989,-0.180138
-0.112623,-0.319413,0.0368291,0.149982
-0.0983964,0.184057,-0.0516673,0.053037
0.0983976,0.293669,-0.115312,0.121745
-0.0565218,0.199445,-0.0291813,0.304861
0.448647,0.136162,-0.242977,-0.22698
0.206024,0.304778,-0.334254,-0.0832781
-0.395664,-0.209457,-0.503241,0.251815
-0.0973847,-0.341747,-0.226505,0.10598
-0.300138,-0.240952,-0.0650015,-0.305579
0.525288,0.296182,0.622133,0.351168
-0.238864,0.267295,-0.00861566,0.0870251
-0.356757,0.176827,-0.329612,-0.368964
0.025022,-0.254271,-0.473563,0.308367
-0.402008,-0.316881,-0.0554798,0.00958098
-0.00401945,0.556854,0.124075,-0.567411
0.0747295,0.477019,-0.402145,-0.241611
0.106365,0.729451,-0.298965,-0.144801
0.151321,0.163567,-0.0627954,0.161142
0.130835,-0.304102,0.0528693,0.0440936
-0.286675,-0.503582,-0.199366,-0.283151
-0.292467,-0.0349625,-0.106505,-0.550684
0.389148,0.294908,-0.331579,-0.337851
-0.100968,-0.00116093,-0.718468,-0.141395
-0.840513,-0.100785,-0.264013,0.206201
-0.0669562,0.0221784,0.0323007,0.0522238
0.0234671,0.336744,-0.8605,-0.686803
0.107975,-0.0589634,0.00225561,-0.606613
-0.23944,-0.336684,-0.252761,-0.623409
-0.224762,-0.510217,0.216982,-0.211678
