file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control002sub-experimental016_task-magictrickwatching_z.nii.gz,-0.00944475,-0.0008164,-0.00708057,0.0171662
ISC_sub-control002sub-experimental018_task-magictrickwatching_z.nii.gz,-0.00126708,0.0223549,-0.0149583,0.00600543
ISC_sub-control002sub-experimental020_task-magictrickwatching_z.nii.gz,0.00578774,0.0382658,-0.00181927,0.0030477
ISC_sub-control002sub-experimental022_task-magictrickwatching_z.nii.gz,0.0130819,0.0223999,0.0140025,-0.0292334
ISC_sub-control002sub-experimental024_task-magictrickwatching_z.nii.gz,0.0169789,0.00931331,0.00739985,-0.000147253
ISC_sub-control002sub-experimental026_task-magictrickwatching_z.nii.gz,0.00977072,0.0362827,-0.010517,0.013558
ISC_sub-control002sub-experimental028_task-magictrickwatching_z.nii.gz,-0.00389161,0.00972313,-0.0234542,0.0151594
ISC_sub-control002sub-experimental030_task-magictrickwatching_z.nii.gz,-0.0128317,0.0235825,-0.00456223,0.0108519
ISC_sub-control002sub-experimental032_task-magictrickwatching_z.nii.gz,0.00818184,0.000513836,-0.000121626,0.0113941
ISC_sub-control002sub-experimental034_task-magictrickwatching_z.nii.gz,0.00933682,0.0239209,-0.00660104,0.0153804
ISC_sub-control002sub-experimental036_task-magictrickwatching_z.nii.gz,0.0144815,0.0307149,0.0418578,0.0396555
ISC_sub-control002sub-experimental038_task-magictrickwatching_z.nii.gz,0.013643,0.0285385,0.0253312,0.0399894
ISC_sub-control002sub-experimental040_task-magictrickwatching_z.nii.gz,-0.0105915,0.0364947,-0.00736291,-0.0150633
ISC_sub-control002sub-experimental042_task-magictrickwatching_z.nii.gz,0.0262808,0.0362402,0.0125565,0.0130864
ISC_sub-control002sub-experimental044_task-magictrickwatching_z.nii.gz,0.00451712,0.0261417,-0.0120846,0.0107597
ISC_sub-control002sub-experimental046_task-magictrickwatching_z.nii.gz,0.00381238,0.027553,0.0356183,0.00467992
ISC_sub-control002sub-experimental048_task-magictrickwatching_z.nii.gz,-0.00231971,0.052097,0.0465321,0.0059175
ISC_sub-control002sub-experimental050_task-magictrickwatching_z.nii.gz,-0.0119985,0.0553637,0.0143144,-0.0115816
ISC_sub-control003sub-control007_task-magictrickwatching_z.nii.gz,0.0120343,0.0181121,-0.00208081,0.0146573
ISC_sub-control003sub-control009_task-magictrickwatching_z.nii.gz,0.00447027,0.0371798,0.0160951,-0.00172684
ISC_sub-control003sub-control011_task-magictrickwatching_z.nii.gz,-0.0191901,0.0247432,0.0361762,0.0281457
ISC_sub-control003sub-control013_task-magictrickwatching_z.nii.gz,0.012809,0.0321593,0.0175362,0.0150365
ISC_sub-control003sub-control015_task-magictrickwatching_z.nii.gz,0.012236,0.0220385,0.0242474,0.00123154
ISC_sub-control003sub-control017_task-magictrickwatching_z.nii.gz,0.000181777,0.0105038,-0.0333195,-0.00931251
ISC_sub-control003sub-control019_task-magictrickwatching_z.nii.gz,0.00185565,0.0300874,0.0275166,0.0165975
ISC_sub-control003sub-control021_task-magictrickwatching_z.nii.gz,0.013368,0.0158239,0.00255767,0.0176118
ISC_sub-control003sub-control023_task-magictrickwatching_z.nii.gz,0.00541467,0.0161624,-0.0129923,0.0096114
ISC_sub-control003sub-control025_task-magictrickwatching_z.nii.gz,0.00279784,0.0316611,0.0186596,0.00191929
ISC_sub-control003sub-control027_task-magictrickwatching_z.nii.gz,0.000321222,0.0499566,0.0132101,-0.00186758
ISC_sub-control003sub-control029_task-magictrickwatching_z.nii.gz,0.0156607,0.03588,0.0121226,0.0195255
ISC_sub-control003sub-control031_task-magictrickwatching_z.nii.gz,0.00949588,0.0193213,0.0125359,0.0353555
ISC_sub-control003sub-control033_task-magictrickwatching_z.nii.gz,0.0164405,0.0528606,0.0247736,-0.0192495
ISC_sub-control003sub-control035_task-magictrickwatching_z.nii.gz,-0.0156638,-0.000143601,0.0195909,-0.0316841
ISC_sub-control003sub-control037_task-magictrickwatching_z.nii.gz,-0.00094919,-0.000126774,-0.00370391,0.0100607
ISC_sub-control003sub-control039_task-magictrickwatching_z.nii.gz,0.0127147,0.0438033,0.00473925,0.02675
ISC_sub-control003sub-control041_task-magictrickwatching_z.nii.gz,0.00328007,0.0256147,0.0164809,0.0309358
ISC_sub-control003sub-control043_task-magictrickwatching_z.nii.gz,0.00662259,0.0409168,-0.00528531,-0.0151381
ISC_sub-control003sub-control045_task-magictrickwatching_z.nii.gz,-0.0185413,0.0246229,0.00540059,0.0132932
ISC_sub-control003sub-control047_task-magictrickwatching_z.nii.gz,0.00129702,0.0188706,-0.00427544,0.00375109
ISC_sub-control003sub-control049_task-magictrickwatching_z.nii.gz,-0.00929441,0.0357839,0.0104686,0.0158251
ISC_sub-control003sub-experimental004_task-magictrickwatching_z.nii.gz,0.00755788,0.0138883,-0.014399,0.0180481
ISC_sub-control003sub-experimental005_task-magictrickwatching_z.nii.gz,0.0227718,0.0386679,0.0139413,0.0410689
ISC_sub-control003sub-experimental006_task-magictrickwatching_z.nii.gz,0.00793341,0.014588,0.00452157,-0.00117761
ISC_sub-control003sub-experimental008_task-magictrickwatching_z.nii.gz,-0.00674065,0.0272518,-0.0130201,0.0249254
ISC_sub-control003sub-experimental010_task-magictrickwatching_z.nii.gz,-0.00328375,0.00219036,0.0340648,0.000186181
ISC_sub-control003sub-experimental012_task-magictrickwatching_z.nii.gz,0.00488258,0.0465224,0.0415475,0.0212125
ISC_sub-control003sub-experimental014_task-magictrickwatching_z.nii.gz,-0.00189764,0.0268483,-0.00480356,0.00558515
ISC_sub-control003sub-experimental016_task-magictrickwatching_z.nii.gz,0.0115381,0.0212528,-0.013157,-0.00239167
ISC_sub-control003sub-experimental018_task-magictrickwatching_z.nii.gz,0.00347056,0.022597,-0.0065826,0.0249788
ISC_sub-control003sub-experimental020_task-magictrickwatching_z.nii.gz,0.0191901,0.04438,-0.00966024,0.00482475
ISC_sub-control003sub-experimental022_task-magictrickwatching_z.nii.gz,-0.00979229,0.0433533,0.0329526,-0.0132315
ISC_sub-control003sub-experimental024_task-magictrickwatching_z.nii.gz,0.00722056,0.0361205,-0.0122971,-0.0173813
ISC_sub-control003sub-experimental026_task-magictrickwatching_z.nii.gz,0.0118376,0.0440531,-0.000444625,-0.00280159
ISC_sub-control003sub-experimental028_task-magictrickwatching_z.nii.gz,-0.0122111,0.029583,-0.00400486,0.00513349
ISC_sub-control003sub-experimental030_task-magictrickwatching_z.nii.gz,-0.0100054,0.0237986,0.00397664,0.00365153
ISC_sub-control003sub-experimental032_task-magictrickwatching_z.nii.gz,-0.00515674,0.00383508,-0.0192107,0.0145497
