Subj1	Subj2	grp	uniqueCur_highConf	grUniqueCur_highConf	uniqueMem_highConf	grUniqueMem_highConf	curBetaFull_highConf	grCurBetaFull_highConf	curBetaRed_highConf	grCurBetaRed_highConf	InputFile	\
sub-control002	sub-experimental020	0	0.003280915	0	0.040139334	0	-0.026388037	0	-0.050153548	0	ISC_sub-control002sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental022	0	-0.104051223	0	0.229257331	0	-0.017137109	0	-0.042136036	0	ISC_sub-control002sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental024	0	0.164451235	0	-0.195506468	0	-0.008051304	0	-0.02537295	0	ISC_sub-control002sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental026	0	-0.409571606	0	0.411337699	0	-0.004614885	0	-0.014433395	0	ISC_sub-control002sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental028	0	0.062453478	0	0.041430716	0	-0.008122053	0	-0.026560971	0	ISC_sub-control002sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental030	0	-0.228920952	0	0.191529616	0	0.01729314	0	0.025072156	0	ISC_sub-control002sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental032	0	0.102605739	0	0.039230805	0	-0.008410765	0	-0.027118516	0	ISC_sub-control002sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental034	0	0.048334114	0	0.405647948	0	0.012695371	0	0.013654795	0	ISC_sub-control002sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental036	0	0.148689565	0	0.233560765	0	-0.004485658	0	-0.016694519	0	ISC_sub-control002sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental038	0	0.207605977	0	0.281999327	0	-0.013905551	0	-0.033501789	0	ISC_sub-control002sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental040	0	-0.198285892	0	0.051183019	0	-0.013387169	0	-0.030018	0	ISC_sub-control002sub-experimental040_task-magictrickwatching_z.nii.gz	\
